Hotel Name,Rating
JW Marriott Hotel Bangkok,4.5
The Quarter Ladprao by UHG,4.5
The Quarter Phromphong By UHG,5.0
Chatrium Hotel Riverside Bangkok,4.5
SKYVIEW Hotel Bangkok,4.5
Novotel Bangkok Platinum Pratunam,4.5
Sponsored Chern Hostel,4.5
The Quarter Ari by UHG,4.5
Shangri-La Hotel Bangkok,4.5
Mandarin Oriental Bangkok,5.0
Hotel Verve,4.5
Novotel Bangkok on Siam Square,4.0
FuramaXclusive Asoke,4.5
The Raweekanlaya Bangkok,4.5
Centara Grand at Central Plaza Ladprao Bangkok,4.5
Craftsman Bangkok,4.5
FuramaXclusive Sathorn,4.0
Vic3 Bangkok,4.0
Oakwood Suites Bangkok,5.0
Vince Hotel,4.5
Aloft Kuala Lumpur Sentral,4.5
W Kuala Lumpur,4.5
Le Meridien Kuala Lumpur,4.5
Sunway Velocity Hotel,4.5
Sunway Putra Hotel,4.0
VE Hotel Residence,4.0
The St Regis Kuala Lumpur,4.5
Four Points by Sheraton Kuala Lumpur Chinatown,4.5
The Majestic Hotel Kuala Lumpur,4.5
The Westin Kuala Lumpur,4.5
Element Kuala Lumpur,4.5
Berjaya Times Square Hotel Kuala Lumpur,3.5
ANSA Hotel Kuala Lumpur,4.0
JW Marriott Kuala Lumpur,4.5
Grand Hyatt Kuala Lumpur,4.5
Mandarin Oriental Kuala Lumpur,4.5
Shangri La Hotel Kuala Lumpur,4.5
The RuMa Hotel and Residences,5.0
Four Seasons Hotel Kuala Lumpur,4.5
PARKROYAL COLLECTION Pickering,4.5
Changi Cove,4.0
Pan Pacific Singapore,4.5
The Fullerton Hotel Singapore,4.5
Park Hotel Clarke Quay,4.0
YOTEL Singapore,4.5
Orchard Hotel Singapore,4.5
Marina Bay Sands,4.5
PARKROYAL COLLECTION Marina Bay,4.0
The Capitol Kempinski Hotel Singapore,4.5
Hotel G Singapore,4.0
Grand Park City Hall,4.5
PARKROYAL on Beach Road,4.0
Mandarin Orchard Singapore,4.0
Park Hotel Farrer Park,4.0
Goodwood Park Hotel,4.5
Pan Pacific Serviced Suites Beach Road,4.5
Hotel Boss,4.0
Four Seasons Hotel Singapore,4.5
Naumi Hotel Singapore,4.5